"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2025","44.06","43.09","45.04","42.04","19.67M","2.25%"
"01/05/2025","43.09","42.62","43.19","41.25","10.74M","1.11%"
"01/04/2025","42.62","41.91","42.85","40.89","13.21M","1.69%"
"01/03/2025","41.91","39.27","42.17","38.91","17.35M","6.74%"
"01/02/2025","39.27","37.76","40.60","37.76","14.44M","4.00%"
"01/01/2025","37.76","35.74","37.97","34.96","9.28M","5.66%"
"12/31/2024","35.74","35.97","37.26","34.96","10.32M","-0.66%"
"12/30/2024","35.97","35.84","37.17","34.90","20.62M","0.37%"
"12/29/2024","35.84","37.75","37.80","35.54","9.09M","-5.06%"
"12/28/2024","37.75","36.56","38.13","36.31","8.02M","3.23%"
"12/27/2024","36.57","37.33","39.02","36.32","13.87M","-2.02%"
"12/26/2024","37.32","40.23","40.74","36.99","16.74M","-7.23%"
"12/25/2024","40.23","41.22","41.88","39.83","13.14M","-2.40%"
"12/24/2024","41.22","39.10","42.03","37.72","13.64M","5.43%"
"12/23/2024","39.10","36.57","39.69","35.65","11.40M","6.91%"
"12/22/2024","36.57","37.38","38.52","35.54","6.37M","-2.18%"
"12/21/2024","37.38","39.84","42.34","36.95","8.37M","-6.16%"
"12/20/2024","39.84","38.82","40.38","33.63","19.57M","2.62%"
"12/19/2024","38.82","42.87","43.59","37.59","22.17M","-9.45%"
"12/18/2024","42.87","47.88","48.19","42.68","20.59M","-10.47%"
"12/17/2024","47.88","48.95","50.82","47.57","10.56M","-2.17%"
"12/16/2024","48.95","50.77","52.00","48.41","10.00M","-3.39%"
"12/15/2024","50.67","49.85","51.34","48.12","5.74M","1.63%"
"12/14/2024","49.85","52.77","53.81","49.41","5.16M","-5.52%"
"12/13/2024","52.77","53.13","53.97","50.87","7.17M","-0.70%"
"12/12/2024","53.13","48.41","55.33","48.25","15.95M","9.77%"
"12/11/2024","48.40","44.60","48.41","42.87","7.36M","8.46%"
"12/10/2024","44.63","45.17","46.45","41.34","13.68M","-1.20%"
"12/09/2024","45.17","53.99","54.19","40.80","18.62M","-16.32%"
"12/08/2024","53.99","51.59","54.39","50.38","6.11M","4.63%"
"12/07/2024","51.60","52.50","53.03","51.21","4.34M","-1.71%"
"12/06/2024","52.50","50.31","53.46","49.74","8.26M","4.28%"
"12/05/2024","50.34","52.75","53.59","49.44","11.94M","-4.57%"
"12/04/2024","52.75","50.89","55.68","50.89","15.19M","3.60%"
"12/03/2024","50.92","52.31","53.77","47.99","18.58M","-2.62%"
"12/02/2024","52.29","45.10","52.44","45.03","27.38M","16.00%"
"12/01/2024","45.08","44.82","45.73","43.80","5.47M","0.59%"
"11/30/2024","44.82","44.85","46.24","43.72","5.36M","-0.06%"
"11/29/2024","44.85","42.77","45.05","42.56","5.80M","4.86%"
"11/28/2024","42.77","43.79","44.20","41.55","6.17M","-2.31%"
"11/27/2024","43.78","42.73","44.43","42.04","10.80M","2.46%"
"11/26/2024","42.73","41.32","43.32","38.56","14.09M","3.41%"
"11/25/2024","41.32","42.03","47.88","40.11","20.01M","-1.75%"
"11/24/2024","42.05","41.44","43.10","38.48","12.83M","1.47%"
"11/23/2024","41.44","43.13","45.20","40.77","16.84M","-3.89%"
"11/22/2024","43.12","35.73","43.36","35.20","16.59M","20.70%"
"11/21/2024","35.73","33.59","36.17","32.34","8.64M","6.37%"
"11/20/2024","33.59","34.22","35.72","32.78","7.52M","-1.84%"
"11/19/2024","34.22","35.47","35.62","33.54","6.22M","-3.54%"
"11/18/2024","35.47","34.71","36.14","34.21","9.27M","2.13%"
"11/17/2024","34.73","35.13","37.22","33.17","11.62M","-1.12%"
"11/16/2024","35.12","33.12","35.71","32.82","8.48M","6.04%"
"11/15/2024","33.12","31.20","33.29","30.61","6.32M","6.15%"
"11/14/2024","31.20","33.10","34.69","30.71","8.85M","-5.77%"
"11/13/2024","33.11","34.20","35.01","31.22","17.10M","-3.79%"
"11/12/2024","34.42","35.74","37.66","32.72","19.73M","-3.73%"
"11/11/2024","35.75","31.88","35.77","30.73","14.39M","12.15%"
"11/10/2024","31.88","30.38","33.27","29.72","12.15M","4.96%"
"11/09/2024","30.37","28.78","30.46","28.52","5.75M","5.53%"
"11/08/2024","28.78","27.38","28.79","27.12","4.92M","5.14%"
"11/07/2024","27.37","27.01","27.99","26.57","4.64M","1.37%"
"11/06/2024","27.01","24.00","27.27","24.00","7.39M","12.55%"
