"Date","Price","Open","High","Low","Vol.","Change %"
"02/09/2025","3.1800","3.2900","3.4710","3.0420","13.95M","-3.28%"
"02/08/2025","3.2880","3.1950","3.3140","3.1610","12.15M","2.59%"
"02/07/2025","3.2050","3.1440","3.4040","3.1080","10.98M","1.88%"
"02/06/2025","3.1460","3.2870","3.3780","3.1210","16.87M","-4.00%"
"02/05/2025","3.2770","3.3890","3.4770","3.2410","11.02M","-3.48%"
"02/04/2025","3.3950","3.7800","3.7960","3.2780","20.81M","-10.11%"
"02/03/2025","3.7770","3.7400","3.7920","2.7890","55.00M","0.69%"
"02/02/2025","3.7510","4.2550","4.3410","3.5650","24.16M","-12.03%"
"02/01/2025","4.2640","4.6120","4.6860","4.2260","7.43M","-7.65%"
"01/31/2025","4.6170","4.6110","4.8420","4.5330","8.85M","0.26%"
"01/30/2025","4.6050","4.4290","4.6750","4.3770","7.48M","4.23%"
"01/29/2025","4.4180","4.2770","4.5750","4.2660","9.28M","3.10%"
"01/28/2025","4.2850","4.6370","4.6830","4.2570","7.25M","-7.57%"
"01/27/2025","4.6360","4.7580","4.7680","4.3810","16.70M","-2.54%"
"01/26/2025","4.7570","4.9220","5.1390","4.7570","7.70M","-3.41%"
"01/25/2025","4.9250","4.9810","5.0230","4.8670","5.61M","-1.56%"
"01/24/2025","5.0030","4.9870","5.1750","4.8460","11.21M","0.44%"
"01/23/2025","4.9810","5.0850","5.1210","4.8620","13.23M","-2.20%"
"01/22/2025","5.0930","5.2480","5.2930","5.0720","8.81M","-3.12%"
"01/21/2025","5.2570","5.0940","5.3420","4.8830","15.17M","3.12%"
"01/20/2025","5.0980","4.9570","5.5890","4.7570","30.97M","2.21%"
"01/19/2025","4.9880","5.4330","5.6510","4.9150","22.86M","-8.38%"
"01/18/2025","5.4440","5.7730","5.8790","5.3120","12.17M","-5.34%"
"01/17/2025","5.7510","5.1670","5.7940","5.1670","12.29M","11.52%"
"01/16/2025","5.1570","5.3170","5.3520","5.0940","11.85M","-2.97%"
"01/15/2025","5.3150","5.0640","5.3380","4.8650","12.70M","5.23%"
"01/14/2025","5.0510","4.7500","5.0570","4.7040","8.20M","6.31%"
"01/13/2025","4.7510","4.9710","5.0920","4.4570","18.20M","-4.43%"
"01/12/2025","4.9710","5.0870","5.1240","4.9110","4.00M","-2.22%"
"01/11/2025","5.0840","5.0870","5.1660","4.9920","4.43M","0.00%"
"01/10/2025","5.0840","4.9870","5.1490","4.9060","8.95M","2.19%"
"01/09/2025","4.9750","5.1460","5.2130","4.8460","10.28M","-3.45%"
"01/08/2025","5.1530","5.3650","5.4470","4.8770","13.56M","-3.95%"
"01/07/2025","5.3650","6.0140","6.0200","5.3520","10.98M","-10.85%"
"01/06/2025","6.0180","5.9250","6.2160","5.7830","9.18M","1.93%"
"01/05/2025","5.9040","5.7910","5.9820","5.6240","5.77M","1.99%"
"01/04/2025","5.7890","5.8390","5.9240","5.7330","6.60M","-0.48%"
"01/03/2025","5.8170","5.4450","5.8270","5.3920","9.73M","6.81%"
"01/02/2025","5.4460","5.3010","5.5680","5.2830","9.05M","3.09%"
"01/01/2025","5.2830","4.9040","5.3310","4.8800","7.69M","7.51%"
"12/31/2024","4.9140","5.0480","5.1580","4.8780","8.25M","-2.67%"
"12/30/2024","5.0490","5.1160","5.2770","4.9580","8.77M","-1.54%"
"12/29/2024","5.1280","5.3520","5.4770","5.0910","6.37M","-4.01%"
"12/28/2024","5.3420","5.1130","5.3660","5.0700","4.74M","4.44%"
"12/27/2024","5.1150","5.0910","5.3110","5.0380","9.08M","0.53%"
"12/26/2024","5.0880","5.4440","5.4970","5.0090","8.35M","-6.56%"
"12/25/2024","5.4450","5.5480","5.6390","5.3620","8.01M","-1.84%"
"12/24/2024","5.5470","5.4300","5.6610","5.2910","12.45M","1.97%"
"12/23/2024","5.4400","5.0400","5.7000","4.9180","15.81M","7.98%"
"12/22/2024","5.0380","5.0190","5.1370","4.8420","14.81M","0.40%"
"12/21/2024","5.0180","5.3350","5.6590","4.9330","16.61M","-6.26%"
"12/20/2024","5.3530","5.2220","5.4590","4.5520","41.13M","2.96%"
"12/19/2024","5.1990","5.6970","5.8610","5.0080","37.10M","-8.79%"
"12/18/2024","5.7000","6.3960","6.4300","5.6830","23.57M","-10.70%"
"12/17/2024","6.3830","6.6270","7.0010","6.3360","19.12M","-3.55%"
"12/16/2024","6.6180","6.8670","7.0480","6.5270","9.95M","-3.43%"
"12/15/2024","6.8530","6.6650","6.9040","6.4790","6.67M","2.51%"
"12/14/2024","6.6850","6.9160","7.0370","6.4970","8.16M","-3.58%"
"12/13/2024","6.9330","6.9180","7.0720","6.7490","11.00M","0.32%"
"12/12/2024","6.9110","6.8500","7.3180","6.7830","15.61M","0.92%"
"12/11/2024","6.8480","6.4160","6.9260","6.1610","12.53M","6.62%"
"12/10/2024","6.4230","6.4880","6.8230","5.9440","30.84M","-1.55%"
"12/09/2024","6.5240","7.8330","7.8390","5.9940","29.08M","-16.59%"
"12/08/2024","7.8220","7.7240","7.8610","7.4630","11.62M","1.22%"
"12/07/2024","7.7280","8.0210","8.0520","7.6590","11.46M","-3.57%"
"12/06/2024","8.0140","7.6170","8.2380","7.5350","21.45M","5.17%"
"12/05/2024","7.6200","7.4640","8.0010","7.0420","27.61M","2.04%"
"12/04/2024","7.4680","7.4040","7.7060","7.1760","24.60M","1.12%"
"12/03/2024","7.3850","7.4940","7.5920","6.7460","32.51M","-1.32%"
"12/02/2024","7.4840","6.9150","7.4850","6.4310","27.18M","8.28%"
"12/01/2024","6.9120","6.9950","7.1570","6.7780","12.25M","-1.24%"
"11/30/2024","6.9990","6.9580","7.2310","6.7890","15.87M","0.57%"
"11/29/2024","6.9590","7.0270","7.0320","6.7820","11.55M","-0.81%"
"11/28/2024","7.0160","6.8250","7.1640","6.4680","15.39M","2.92%"
"11/27/2024","6.8170","6.5110","6.8670","6.4060","18.58M","4.62%"
"11/26/2024","6.5160","6.4610","6.6620","5.9730","26.49M","0.96%"
